,close,ret
2016/7/6,2167.1,-0.08
2016/7/5,2168.86,0.26
2016/7/4,2163.29,1.7
2016/7/1,2127.09,0.21
2016/6/30,2122.63,-0.02
2016/6/29,2122.97,1
2016/6/28,2102.05,0.29
2016/6/27,2095.89,0.94
2016/6/24,2076.3,-1.39
2016/6/23,2105.53,-0.48
2016/6/22,2115.77,0.53
2016/6/21,2104.56,0.02
2016/6/20,2104.22,0.1
2016/6/17,2102.2,0.35
2016/6/16,2094.81,-0.56
2016/6/15,2106.63,0.55
2016/6/14,2095.02,0.51
2016/6/13,2084.3,-2.28
2016/6/8,2132.96,-0.29
2016/6/7,2139.07,0.13
2016/6/6,2136.32,-0.76
2016/6/3,2152.64,0.7
2016/6/2,2137.65,-0.06
2016/6/1,2138.96,-0.77
2016/5/31,2155.66,3.03
2016/5/30,2092.16,0.83
2016/5/27,2074.92,-0.06
2016/5/26,2076.14,0.2
2016/5/25,2071.91,0.25
2016/5/24,2066.64,-0.76
2016/5/23,2082.41,-0.03
2016/5/20,2083.12,0.45
2016/5/19,2073.8,-0.24
2016/5/18,2078.76,0.16
2016/5/17,2075.47,-0.34
2016/5/16,2082.62,0.31
2016/5/13,2076.19,-0.41
2016/5/12,2084.84,0.31
2016/5/11,2078.41,0.29
2016/5/10,2072.38,0
2016/5/9,2072.47,-1.64
2016/5/6,2107.01,-2.13
2016/5/5,2152.88,0
2016/5/4,2152.93,-0.25
2016/5/3,2158.27,1.07
2016/4/29,2135.51,-0.31
2016/4/28,2142.06,-0.15
2016/4/27,2145.38,-0.48
2016/4/26,2155.79,0.35
2016/4/25,2148.28,-0.44
2016/4/22,2157.72,0.47
2016/4/21,2147.72,-0.33
2016/4/20,2154.89,-0.4
2016/4/19,2163.61,0.25
2016/4/18,2158.23,-1.09
2016/4/15,2182.07,0.15
2016/4/14,2178.87,0.35
2016/4/13,2171.32,1.28
2016/4/12,2143.9,-0.21
2016/4/11,2148.44,1.16
2016/4/8,2123.8,-0.73
2016/4/7,2139.4,-1.32
2016/4/6,2168.04,-0.56
2016/4/5,2180.26,0.58
2016/4/1,2167.78,0.52
2016/3/31,2156.54,-0.05
2016/3/30,2157.53,2.4
2016/3/29,2106.86,-0.76
2016/3/28,2123.03,-1.22
2016/3/25,2149.2,0.54
2016/3/24,2137.59,-1.73
2016/3/23,2175.28,0.09
2016/3/22,2173.26,-0.92
2016/3/21,2193.39,2.44
2016/3/18,2141.18,0.45
2016/3/17,2131.48,-0.22
2016/3/16,2136.13,1.67
2016/3/15,2101.12,1.09
2016/3/14,2078.41,0.37
2016/3/11,2070.72,0.45
2016/3/10,2061.45,-2.39
2016/3/9,2111.92,-0.15
2016/3/8,2115.16,0.36
2016/3/7,2107.67,-0.69
2016/3/4,2122.27,3.36
2016/3/3,2053.27,0.48
2016/3/2,2043.41,3.56
2016/3/1,1973.19,1.47
2016/2/29,1944.61,-0.55
2016/2/26,1955.4,1.18
2016/2/25,1932.6,-5.33
2016/2/24,2041.39,0.58
2016/2/23,2029.52,-1.19
2016/2/22,2053.86,2.48
2016/2/19,2004.11,-0.26
2016/2/18,2009.27,-0.26
2016/2/17,2014.44,0.68
2016/2/16,2000.9,2.7
2016/2/15,1948.28,-0.97
2016/2/5,1967.26,-0.35
2016/2/4,1974.24,1.12
2016/2/3,1952.37,-0.88
2016/2/2,1969.62,1.68
2016/2/1,1937.07,-1.82
2016/1/29,1973.01,3.15
2016/1/28,1912.72,-2.09
2016/1/27,1953.46,0.09
2016/1/26,1951.61,-5.51
2016/1/25,2065.44,0.17
2016/1/22,2061.96,1.03
2016/1/21,2040.98,-2.29
2016/1/20,2088.72,-1.87
2016/1/19,2128.57,2.87
2016/1/18,2069.27,-0.08
2016/1/15,2070.93,-2.87
2016/1/14,2132.08,1.26
2016/1/13,2105.51,-1.21
2016/1/12,2131.37,0.53
2016/1/11,2120.23,-4.48
2016/1/8,2219.61,1.79
2016/1/7,2180.59,-5.91
2016/1/6,2317.65,1.29
2016/1/5,2288.11,0.78
2016/1/4,2270.46,-6.21
2015/12/31,2420.8,-0.49
2015/12/30,2432.77,0
2015/12/29,2432.88,0.89
2015/12/28,2411.41,-3.25
2015/12/25,2492.34,0.43
2015/12/24,2481.75,-0.85
2015/12/23,2503.06,0.28
2015/12/22,2496.05,-0.16
2015/12/21,2500.06,3.19
2015/12/18,2422.83,0.6
2015/12/17,2408.32,1.34
2015/12/16,2376.54,-0.31
2015/12/15,2383.83,-1.29
2015/12/14,2414.92,3.09
2015/12/11,2342.45,-0.63
2015/12/10,2357.21,-0.53
2015/12/9,2369.74,0.23
2015/12/8,2364.34,-1.3
2015/12/7,2395.58,-0.08
2015/12/4,2397.56,-2.6
2015/12/3,2461.45,0.12
2015/12/2,2458.41,4.84
2015/12/1,2344.83,0.37
2015/11/30,2336.29,0.08
2015/11/27,2334.44,-4.75
2015/11/26,2450.96,-0.35
2015/11/25,2459.56,0.48
2015/11/24,2447.9,-0.36
2015/11/23,2456.84,-0.4
2015/11/20,2466.76,-0.07
2015/11/19,2468.49,1.19
2015/11/18,2439.45,-0.56
2015/11/17,2453.26,0.24
2015/11/16,2447.29,-0.02
2015/11/13,2447.77,-1.16
2015/11/12,2476.43,-1.17
2015/11/11,2505.83,-0.67
2015/11/10,2522.68,-0.45
2015/11/9,2534.08,1.63
2015/11/6,2493.48,2.16
2015/11/5,2440.65,2.96
2015/11/4,2370.5,4.35
2015/11/3,2271.65,-0.37
2015/11/2,2280.09,-1.42
2015/10/30,2312.97,0.24
2015/10/29,2307.35,-0.15
2015/10/28,2310.7,-1.67
2015/10/27,2349.9,0
2015/10/26,2350.02,0.26
2015/10/23,2343.96,0.52
2015/10/22,2331.79,-0.37
2015/10/21,2340.36,0.14
2015/10/20,2337.08,0.8
2015/10/19,2318.47,-0.23
2015/10/16,2323.78,1.13
2015/10/15,2297.9,1.95
2015/10/14,2253.91,-0.75
2015/10/13,2270.95,-0.55
2015/10/12,2283.43,2.89
2015/10/9,2219.29,1.28
2015/10/8,2191.34,2.11
2015/9/30,2146.12,0.89
2015/9/29,2127.2,-1.97
2015/9/28,2169.94,-0.62
2015/9/25,2183.4,-0.21
2015/9/24,2188.09,0.44
2015/9/23,2178.55,-2.63
2015/9/22,2237.31,1.03
2015/9/21,2214.45,0.7
2015/9/18,2198.99,0.19
2015/9/17,2194.82,-2.1
2015/9/16,2241.95,3.07
2015/9/15,2175.17,-2.38
2015/9/14,2228.15,1.49
2015/9/11,2195.39,-0.59
2015/9/10,2208.48,-0.12
2015/9/9,2211.2,1.43
2015/9/8,2180.13,2.16
2015/9/7,2133.98,-4.89
2015/9/2,2243.63,0.6
2015/9/1,2230.32,0.9
2015/8/31,2210.45,2.34
2015/8/28,2159.96,3.11
2015/8/27,2094.72,7.84
2015/8/26,1942.45,1.48
2015/8/25,1914.05,-7.01
2015/8/24,2058.25,-9.38
2015/8/21,2271.36,-3.63
2015/8/20,2356.92,-3.02
2015/8/19,2430.28,0.93
2015/8/18,2407.97,-5.59
2015/8/17,2550.47,-1.03
2015/8/14,2577.04,-0.14
2015/8/13,2580.78,0.77
2015/8/12,2561.13,-1.14
2015/8/11,2590.71,-1.03
2015/8/10,2617.66,4.55
2015/8/7,2503.8,1.47
